,Age Group 15-24 -Total,Age Group 25 Over,2020 End Unemployment Rate(15-24),2021 End Unemployment Rate(15-24),2020 End Unemployment Rate(25 Over),2021 End Unemployment Rate(25 Over),,,,
NL,33003,0,12.7,19.5,11.4,11.3,,,,
PE,4986,0,18.8,18,9.1,6.3,,,,
NS,47811,0,14.6,10.2,7.5,8,,,,
NB,28663,0,21.1,12.5,6.8,7.4,,,,
QC,363558,0,14.8,8.4,6.5,4.4,,,,
ON,1050526,0,22.1,10.4,7.7,6.4,,,,
MB,47545,0,13.6,8.9,5.9,5,,,,
SK,50115,0,15.2,9.6,5,4.9,,,,
AB,217477,0,22.7,12.8,8.7,6.6,,,,
BC,250383,0,15.6,11.3,7.2,4.1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
