Emergency Wage Subsidy,,,Province/Territory,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,BC,Quebec,Alberta,Ontario,CPI,,,,,,,,,,,,,,,,
April,1065647,1902476,1302011,3714329,134.78,,,,,,,,,,,,,,,,
May,1066152,2323550,1331894,3815021,134.73,,,,,,,,,,,,,,,,
June,984297,2014752,1274107,3499939,135.50,,,,,,,,,,,,,,,,
July,916422,1664729,1171691,3012324,135.45,,,,,,,,,,,,,,,,
August,825567,1556925,1052879,2624640,135.48,,,,,,,,,,,,,,,,
September,465936,850981,678285,1518589,135.67,,,,,,,,,,,,,,,,
October,317142,567692,493882,1050799,136.15,,,,,,,,,,,,,,,,
November,243659,388901,369291,776436,136.52,,,,,,,,,,,,,,,,
December,72698,102952,93477,226821,136.35,,,,,,,,,,,,,,,,
,April,May,June,July,August,September,October,November,December,,,,,,,,,,,,
CPI,135.1,135,135.6,135.5,135.5,135.7,136.3,136.6,136,,,,,,,,,,,,
CPI,134.5,134.4,135,134.9,134.9,135,135.7,135.9,135.3,,,,,,,,,,,,
CPI,134.9,135.2,136.3,136.4,136.1,136,136.6,136.8,136.5,,,,,,,,,,,,
CPI,135,134.8,135.5,135.4,135.5,135.8,136.1,136.6,136.8,,,,,,,,,,,,
CPI,134.4,134.1,134.8,134.7,134.9,135.2,135.5,136,136.2,,,,,,,,,,,,
CPI,134.8,134.9,135.8,135.8,136,136.3,136.7,137.2,137.3,,,,,,,,,,,,
